,da,BEN,CO,EBE,MXY,NMHC,NO_2,NOx,OXY,O_3,PM10,PM25,PXY,SO_2,TCH,TOL,NO,CH4
0,2001-01-01,201.29999911785126,277.850000731647,119.82999962568283,212.65000021457672,21089.99996446073,13620.639981746674,28658.65000629425,108.47000002861023,5391.820002555847,5238.110011577606,0.0,86.71000009775162,4505.659993648529,146.17999970912933,719649.9996185303,0.0,0.0
1,2001-01-02,198.74000039696693,213.33999946713448,119.97999954223633,166.14999993145466,17109.999991953373,13933.940055847168,27346.540015220642,94.70000010728836,9455.930002212524,5305.219989299774,0.0,80.59000015258789,4208.799990653992,136.52999937534332,642359.994828701,0.0,0.0
2,2001-01-03,202.11000041663647,261.0700001642108,133.46000027656555,182.18000030517578,21839.999966323376,16338.1400308609,35585.310072898865,89.46000039577484,6150.989983081818,7177.930016994476,0.0,74.22999975085258,4581.489995479584,143.61000072956085,752429.9980401993,0.0,0.0
3,2001-01-04,218.83000002801418,248.1499998625368,143.79000055789948,190.7400006353855,21260.00003144145,15338.40002822876,33177.419961452484,95.1900002360344,6700.770007133484,7465.090016841888,0.0,81.47000080347061,4449.230006694794,140.96000003814697,773000.002682209,0.0,0.0
4,2001-01-05,254.239999294281,335.9899991378188,188.45999920368195,294.56999826431274,28249.999826774,15466.260007858276,43052.29005622864,125.06000044941902,2960.6100084781647,7335.249988794327,0.0,105.65999987721443,4614.349997520447,160.70000040531158,998670.0038909912,0.0,0.0
5,2001-01-06,132.67000064253807,221.43999926745892,84.09000033140182,104.68000142276287,14569.999968633056,12752.340022087097,22810.539980888367,60.02000015974045,8273.529987096786,3134.6999956965446,0.0,52.71999993920326,4296.510009765625,133.10999953746796,444760.0012421608,0.0,0.0
6,2001-01-07,130.7100003361702,214.8699997216463,77.55000030994415,77.37000015377998,13790.00005684793,13972.720024108887,24291.229980945587,48.64999967813492,7234.309990644455,3557.519995689392,0.0,44.72999984025955,5019.8200097084045,135.74000024795532,403989.99923467636,0.0,0.0
7,2001-01-08,247.45999942719936,369.8199994843453,158.0500012934208,228.29999887943268,28860.000047832727,19315.050072073936,52468.950019836426,107.47000023722649,5299.180002689362,10417.840010166168,0.0,91.30999955534935,7282.530025959015,167.8600002527237,937929.9980401993,0.0,0.0
8,2001-01-09,267.81999960541725,375.7800005078316,185.410001039505,318.53999972343445,28319.999918341637,19304.170015335083,55234.280097961426,139.94000047445297,1767.55000269413,10625.150010108948,0.0,113.54999989271164,7643.929985523224,165.69000005722046,1291770.0037956238,0.0,0.0
9,2001-01-10,367.2600023448467,440.0899994671345,261.5399993658066,432.1900007724762,34679.999835789204,17066.86003112793,59217.579959869385,192.87999978661537,2119.6899988651276,11471.379973888397,0.0,155.62000006437302,7698.680021286011,181.16000032424927,1579199.9957561493,0.0,0.0
10,2001-01-11,254.17000049352646,299.99000019207597,173.61999946832657,321.3600001335144,25069.99995559454,16258.920007705688,36691.2299413681,148.97000041604042,4762.220005512238,5892.469994068146,0.0,119.45999985933304,5311.039991855621,153.7900002002716,1016589.9966955185,0.0,0.0
11,2001-01-12,259.8300005495548,346.21000026911497,150.15000063180923,284.1000020503998,19819.99994814396,18056.45001411438,39201.42001533508,124.59999895095825,4017.3499997854233,6142.219990730286,0.0,99.59999865293503,7455.720009326935,142.72999930381775,1128419.9986457825,0.0,0.0
12,2001-01-13,204.30000185966492,402.9500004798174,129.1199997663498,109.18000000715256,23719.999983906746,18375.83998155594,45210.44987297058,63.080000191926956,3606.3900026082993,9956.239997148514,0.0,52.65000009536743,8681.130011081696,155.09999990463257,819159.9991321564,0.0,0.0
13,2001-01-14,250.80000159144402,495.20000007748604,153.43999934196472,141.01999878883362,34840.00016376376,17865.890003204346,55901.73017120361,85.6399998664856,3238.6800183057785,11059.859990596771,0.0,72.42000034451485,8607.980025291443,176.61999917030334,920100.0039577484,0.0,0.0
14,2001-01-15,273.65000054240227,365.93999963998795,187.29999995231628,234.05000180006027,27609.99993607402,15090.410004615784,45234.59000968933,115.78000113368034,2569.04999768734,10066.800023555756,0.0,96.63000029325485,6393.730006694794,163.7299998998642,1073910.0053310394,0.0,0.0
15,2001-01-16,241.71999967098236,270.4399996474385,157.48000013828278,206.46999990940094,21280.000131577253,13790.85003066063,30527.25998687744,105.7400004863739,5008.019992113113,6370.6400027275085,0.0,90.8500010073185,4862.109995365143,144.07000076770782,840710.0001573563,0.0,0.0
16,2001-01-17,236.60999865829945,280.5599993877113,157.36000031232834,209.3000007122755,20800.00000819564,14295.84001994133,32329.940064907074,107.20000031590462,5612.469997882843,6877.0699853897095,0.0,92.76999932527542,4939.030003070831,143.02000033855438,832929.9994409084,0.0,0.0
17,2001-01-18,245.3799987733364,280.72999972850084,164.42999929189682,238.12000127136707,22620.000209659338,15776.710048675537,33680.48992443085,121.04000076651573,5183.190009832382,5626.980011463165,0.0,99.89000031352043,4866.019982814789,149.85000026226044,896030.0015211105,0.0,0.0
18,2001-01-19,247.28000079095364,347.68999952077866,151.55999904870987,161.0499992966652,21259.999986737967,16863.569995880127,39926.350068092346,81.95999974012375,4848.539993643761,7700.610007286072,0.0,70.1800009906292,6850.090001583099,144.39000070095062,872449.9990344048,0.0,0.0
19,2001-01-20,298.3599987626076,484.29000118374825,209.2299998998642,285.83000060915947,34530.00009059906,19036.080021858215,56155.59007644653,135.93999952077866,3436.100004553795,12435.680064678192,0.0,111.8699999153614,8932.97998714447,175.52999997138977,1194020.0104117393,0.0,0.0
20,2001-01-21,135.99000088870525,565.8899983763695,123.08000016212463,327.3400020003319,35669.9999794364,17157.599949121475,62864.81999588013,153.4299995303154,3231.220002055168,13657.109972000122,0.0,124.7399994134903,8738.409988880157,179.62000000476837,778620.0020313263,0.0,0.0
21,2001-01-22,278.34999753534794,523.1399990916252,205.7799997329712,367.38000017404556,37499.9999627471,18011.800032377243,64860.939851760864,164.99000042676926,2174.6200017929077,13877.069983959198,0.0,135.02999928593636,8388.619997024536,183.80000019073486,1202699.99563694,0.0,0.0
22,2001-01-23,223.40999990701675,257.0999998450279,154.3399988412857,181.70999991893768,23030.000062659383,13466.110043048859,29310.9600982666,91.87999960780144,5152.870011806488,4190.180007994175,0.0,79.66999995708466,4768.35000705719,143.5300009250641,796930.0043284893,0.0,0.0
23,2001-01-24,147.86000055074692,224.53999849781394,111.18000042438507,139.66999912261963,17739.999987185,12332.929994106293,26087.80989575386,78.11999988555908,7162.249986171722,4402.970003128052,0.0,69.32999953627586,4817.2800035476685,135.70999956130981,574620.0020611286,0.0,0.0
24,2001-01-25,144.91000106930733,203.96999953873456,95.08000001311302,111.4400010406971,15469.999952241778,13559.649999797344,26095.59997177124,68.5500001013279,9704.830009937286,3914.6300072669983,0.0,60.89999955892563,4134.090001106262,135.3300006389618,539159.998446703,0.0,0.0
25,2001-01-26,178.42000141739845,248.17999967187643,126.30000084638596,150.86999961733818,19950.000047683716,14681.839985609055,30669.050033569336,82.07999989390373,7446.619983673096,4075.2299942970276,0.0,71.82999992370605,3609.6899955272675,140.56000125408173,694160.0018143654,0.0,0.0
26,2001-01-27,160.75999982655048,273.9700005725026,115.32000029087067,141.23000074923038,20059.999959543347,13684.60999417305,28832.32004094124,79.91999936103821,6606.949981212616,4084.0799908638,0.0,69.45000004768372,4810.4500069618225,138.35999929904938,630309.9984526634,0.0,0.0
27,2001-01-28,92.90999944508076,143.69999976828694,60.08999988436699,79.64000079035759,9190.000044181943,8813.369996726513,13482.1700258255,52.779999911785126,12321.839978218079,2765.920011997223,0.0,47.299999833106995,4049.7399945259094,126.57000029087067,320350.00082850456,0.0,0.0
28,2001-01-29,157.7400010675192,241.18999965675175,96.38000127673149,101.83000028133392,13950.000056996942,14101.879950404167,28262.379987716675,58.35999995470047,9261.630007743835,5124.240004301071,0.0,52.20000000298023,5938.190008640289,135.19000029563904,530680.0002157688,0.0,0.0
29,2001-01-30,303.70999839901924,546.5800004899502,209.06999969482422,298.93999940156937,40040.00013321638,25291.259991168976,81403.69003295898,128.20999985933304,3059.3600038290024,14874.420008897781,0.0,106.18999943137169,10061.440001487732,183.78999948501587,1309180.0076961517,0.0,0.0
